,United States_tweets,United States_sentiment,United Kingdom_tweets,United Kingdom_sentiment,India_tweets,India_sentiment,Nigeria_tweets,Nigeria_sentiment,Australia_tweets,Australia_sentiment
0,Supporting the Park Ridge Wilderness Princesses for tree day And no wreaths this year  because of COVID19 workers cant get close enough to each other to weave them  prwp,positive,OK here we go surely going to be one of the odder  PMQs in recent times Id forgotten of course that someones bound to ask whether the current working arrangements for the Houses of Parliament are appropriate during lockdown 2,negative,star No caption required  star    Picture itself says everything   wearamask  socialdistancing  pandamic  StaySafe  besafe  coronatime  West Delhi,neutral,model  music  artist  engineer  healthworker I rule my world  smiling_face_with_sunglasses   Suru Lere Lagos Nigeria,neutral,Students from Westernport primary schools have led the way in developing solutions to address unprecedented issues raised as the result of the COVID environment as part of the Family Life Map Your World Program Find out more  backhand_index_pointing_down,positive
1,So when your son is feeling COVID crappy you make his favorite comfort foodstomato bisque soup and grilled cheese sandwiches bacon and jalepeno habenero Swiss cheese  Lincoln Nebraska,negative,BBC News  Covid Regulator criticises data used to justify lockdown,neutral,locked DOWN  keycap_2  keycap_0  If only I was hibernating here disappointed_face  palm_tree  coconut  sun_behind_small_cloud    Lockdown  lockdown2020  davinaktravels  moborbeach  sunset  goa  goasunset  coconuttree  Mobor Beach,negative,DAILY NUGGETS The ability to discipline yourself to delay gratification in short term in order to enjoy greater rewards in long term is key to success The second wave of Covid19 is here kindly stay safe LYM cares,positive,Swanston and Latrobe  tram  swanstonstreet  latrobestreet  melbourne  yarratrams  keolis  railphotography  railfans of instagram  tramsoninstagram  coronavirus  covid 19  Melbourne Victoria Australia,neutral
2,A day later but just as special So much to be thankful for but the pandemic has really amplified those things that really matter family health and freedom  Palo Alto California,positive,So happy I got to see my two best friends before this second lockdown   bestfriendsforever  growing_heart  mygirls two_hearts  lovewins  The Pig Hotel,positive,Quarantine home in the woods  kerala  wfh  Kanayi,neutral,Me an my cool guy prince of bbn season 5 lockdown at Dora 25 birthday party  Gabby Adeosun Lekki Phase 1,positive,AUNZ  NRoom  Indigenous legal service calls for inquiry into police use of COVID19 powers at Djab Wurrung protest Australias peak body for Indigenous legal services is calling for an urgent State Government inquiry into Victoria Polices use of,positive
3,Not guilty Star masks still available  wearamask  andarhinestoneshirt  Miami Beach Florida,positive,Lockdown 2 trying to do a walk each day No video diary this time Just nice pictures with the changing of colours  East Preston Beach,positive,Self confidence is d beat filter but corona se koi masti nahi so always hv filter   mask  covid19  saftyfirst  bhaibhai  arvindvegda  Ahmedabad India,negative,Please come and buy your Nigerian Giving Pure water in Anambra StateDrink and Thirst no more  a prevent to corona virusWatch till end  Awka,positive,Lost Lockdown Exploring for Faves  zany_face   I have a blog    MARTAN  minimal  minimalistic  minimalism  travel  visitvictoria  warrnambool  portfairy  beach  vanillaslice  acnesstudios,neutral
4,Working at moms means meetings in bed handdelivered hot coffee and cat assistants  upnorth  minnesota  catsofinstagram  workfromhome  Lakeside Township Aitkin County Minnesota,neutral,Autumn lockdown Burghley walks with Ted  fallen_leaf  maple_leaf  deciduous_tree  United_Kingdom   Burghley Park Stamford,neutral,IN  NRoom  Amid Covid govt hospitals deliver Our health staff treated these pregnant women with utmost care With the efforts of the health staff Ludhiana district stands at number one in the delivery  View article,positive,november  sama  samafoods  samafoodsng  samapopcorn  samacorn  popcorn  snacksonsnacks  snackideas  snackhealthystayhealthy  snackhealthy  stayhealthy  staysafe  covid  covid 19  Shoprite Nigeria,neutral,Great Day For A Ride  bikelife  melbourne  covid 19  covidedition  love  gixxer  Williamstown Beach,positive
5,Visiting Victoria and living life in the time of COVID  North Las Vegas Nevada,neutral,Happy Thursday Will I get a chance to make an offer on a flat as Im at a virtual half day conference  morningcommute  flatbuying  offers  covid19  coronavirus  lockdown2  lockdown  London  Westminster,positive,A little freedom amidst lockdown  matheran  weekendgetaway  mumbailife  weekend  mountainscape  Matheran Hill Station,negative,Executive Table with 3 doors compartment Scratch proof Water proof Color Brown Price N95000 Doesnt come with the chair  Lagos Nigeria,neutral,One 4 adelaidestories  shitadelaide Panic buying in full swing in SA  Covid19  toiletpaper  bogroll  adelaide,positive
6,Trexler game preserve covid madness 1amp2 11x17 available for preorder now on  Electric Cheetah Tattoos and Permanent Cosmetics LLC,positive,We were awarded this because we looked after you through our last lockdown and we are here through this second wave too  Creatiques Bridal Boutique,neutral,During our school days we been often asked beta school kyu nahi gayebut now I believe work from home and virtual classes is the new normal  Hassanabad Rainawari Srinagar,positive,Check out our corona virus design inspired by the virus  Kano Nigeria,neutral,Brolgas19 Brolga awards 2019  beaming_face_with_smiling_eyes  check_mark_button  thumbs_up_medium-light_skin_tone  time before  covid  Fk Covid  pouting_face   Alice Springs Northern Territory,positive
7,Eros and Echos new home at least until after their quarantine and then their bonding period with Tavie and first steps out Now time to find a food bowl for them  Perry County Indiana,positive,Lockdown 2 not soo bad  fire   fire   fire   Abingdon Oxfordshire,negative,stayhome  staysafe  coronatime Dont be a rush  Marine Drive  Nariman Point,neutral,Wishing My Governor Abubakar Sani Bello Lolo abusbello Jet Recovery tested positive to  COVID19  folded_hands  folded_hands  folded_hands  Cc gossipmillnaija tundeednut samklef  news  corona  endsarsbrutality  endbanditry  wizkidnews  davido,positive,One of my work buddies  homeoffice  workingfromhome  cuteduck  faveanimal  beaniehead  Perth Western Australia,neutral
8,stayhome  stayputthisThanksgiving  covid 19  covid  Hells Kitchen,neutral,If you havent ever had a  traxxas  christmas before You should now  rccars  onlineshopping  uk  covid  christmasgifts  sawbridgeworth  harlow  hertfordshire  essex  Essex,neutral,Indias first contactless hand sanitizer dispenser with thermometer installed at supreme factory  success  successquotes  sanitizer  Mumbai Maharashtra,positive,Funny but true hand washing became a norm in 2020  keepsafe  washyourhands  besafe  QUAD T Events Center,positive,Best weekend of training since Osaka Womens Marathon prep in January Lockdown maintenance phase is officially over  partying_face  The 2021 marathon prep has begun lachlanmcarthur1978  person_cartwheeling_medium_skin_tone  smiling_face_with_hearts   Creswick Victoria,neutral
9,Life is short and the world is wide I better get started after covid  rolling_on_the_floor_laughing   Malaysia   Somewhere on Earth,positive,Inventors design hightech helmets for Covid protection,neutral,Sometimes I take advantage of the portrait mode on my phone  face_with_hand_over_mouth  face_with_hand_over_mouth  face_with_hand_over_mouth  hope everyone had an amazing festive week   lockdown  Quarantine  shotononeplus  Mumbai Maharashtra,positive,COVID19 cased is on the rise again Lets play our part in staying safe and keeping others safe too        onipata  staysafe  protectyourself  covid 19  Suru Lere Lagos Nigeria,positive,Sunset emoji  sunset   adelaide  skyviewers  cloudporn  sunset Day 1 post lockdown  emojipictures  frostiesinthecity  Realm Adelaide,neutral
