,United States_tweets,United States_sentiment,United Kingdom_tweets,United Kingdom_sentiment,India_tweets,India_sentiment,Nigeria_tweets,Nigeria_sentiment,Australia_tweets,Australia_sentiment
0,Great time with my little sister tonight talking about the covid19 vaccine vanielly vivendofelis  University Catholic,positive,Boo Made you jump  lockdown  photography  streetphotography  popup  instant  streetart  white  birdpoop  blackpool  joke  Blackpool,neutral,My stay at HYATT REGENCY GURGAON IN MAY 2019 PRE  COVID19 hyattregencyggn  Hyatt Regency Gurgaon,positive,My new year vibes Despite the pandemic and hardship We made it through Happy new year friends  talented prince cares  Okrika,positive,Delicious burnt pine red ipa Cheers Otherside for making quarantine bearable Great biscuity malt and bitter hop balance  Drinking a Redliner IIRA by Otherside Brewing Co  Heathridge,positive
1,Weve been spending the beginning of 2021 reflecting on how our music has evolved since Covid began The difference is almost like night and day  Fairhope Alabama,positive,How would this place look in the absence of coronavirus  corona  Irish Ferries Holyhead,neutral,Lol that undershirt is so bawa,neutral,The fear and shivering may never be same but believe me prevention is better than cure Whether Covid19 is real in Nigeria or a scam protect yourself by wearing your nose mask  MaskupLagos  Covid19  ncdc  Becareful,positive,doubleentendre Smile Ballajura The UKs just gone into another lockdown Were truly blessed to be in WA  lockdown  funny  covid19  Cricketers Arms,positive
2,Prior to COVID19  woman_cook_medium-light_skin_tone   The World,positive,Tough decision to make but unfortunately due to lockdown 30 we are having to postpone our wedding this year upside-down_face  pensive_face  Aiming for 2022  crossed_fingers  that should give corona enough time to kindly get gone  rolling_on_the_floor_laughing   Grantham,negative,We are HIRING HIRING HIRING PAN INDIA FRESHER ALSO APPLY  indian  entrepreneurship  underemployed  mahimpatelforever  hr  jobs  wfh  Meerut,neutral,Take responsibility and observe all covid 19 guidelines Together we can flatten the curve  beckysfashion  covid 19  flattenthecurve  takeresponsibility  EbuteMetta,neutral,Im ready for  Lockdown how about you I figure if its good enough for jackmilleraus to wear its good enough for me cncracingofficial pramacracing  BePrepared  Brisbane Queensland Australia,positive
3,Most High glorious God enlighten the darkness of my heart and give me true faith certain hope and perfect charity sense and knowledge Lord that I may carry out your holy and true command St Francis of Assisi,positive,Uncertainty looms over Badosas  AustralianOpen in doubt after positive  COVID19 test,negative,To blame 2020  beaming_face_with_smiling_eyes  PS  Please dont mind my voicenoise        covi̇d19  wfh  anticaa  farmersprotest  Delhi  NCR,negative,Quick reminder wear a mask Its  WellNessDay  Victoria Island Lagos,neutral,Welcome back to work Big Ted  In the abctv Sydney studio talking about changes to the way we work  How has COVID reshaped the way you work  ABC Television Ultimo,neutral
4,50K  Google searches 4 Ernie Boch Jr 13h old  Boston  sunrise  710  cityscape_at_dusk  1637 EST  Covid19  SuffolkCounty 01132021 New CS 575 14DCSΔ 151 New D 9 14DDΔ 54,negative,People with learning disabilities are six times more likely to die from COVID19 than the general population It is crucial that they are prioritised in the vaccination rollout programme Please join us in signing this petition  backhand_index_pointing_right,positive,Tested negative for  covid 19  staysafe  stayhealthy  stayhome  coronaviruspandemic  Bandra Mumbai,positive,Same pic different pose If life dey show you pepper my guy make pepper soup Make something good out of a bad experience  quarantine  music  nigeria  lagos  2021  newyear2021  lekki  djs  enjoyment,negative,First solo ride into Daisy Hill forest bit hairy at times due to the rain and mud but very peaceful and quiet before the short lockdown  meridabignine40  daisyhillmtb  daisyhillforest  Daisy Hill Conservation Park,negative
5,Bloomfield Pulse Condolences to all of the families Essex County Coronavirus Cases Updated Monday January 11 2021  07003covidupdate  bloomfieldnj  Bloomfield New Jersey,neutral,Austria finds 96 foreigners at  skiresort in violation of lockdown rules,neutral,First batch Consignment of COVID19 Vaccine reached Srinagar today  Srinagar Jammu and Kashmir,neutral,Guys please this second wave is real adhere to all instructions   THIS IS NOT A DRILL    stayalive  stayhome  staysafe  stayhealthy  covid 19  covidisreal  earningsallround  Omole phase 2 estate,positive,Thanks for sharing pangolsprotects Great article featuring gladyskalemazikusoka of ctph uganda talking about the impact of covid19 on tourism  Uganda Africa,positive
6,Fun pandemic family outing Thanks amystrass for the idea starvedrockstatepark  winterhike  Starved Rock State Park,positive,Novavax Covid19 vaccine shows 89 efficacy in UK clinical trials Novavax Covid19 vaccine shows 89 efficacy in UK clinical trials  severe Covid19 in 94 per cent of the study population that was HIVnegative,positive,StayHomeStaySafe face_with_medical_mask   Happy new year 2021 party_popper   Pallu Rajasthan India,positive,Quick recap here are some of great success recorded we promise to help  do more this is 2021 2020 was not it Weve refuse to give 2020 has open my eyes to push even harder  2020  2021  covid19  covid  corona  push,positive,Discussing  covid 19  corona with some local  bird  birdsofinstagram looking sidney  harbourbridge  travelphotography australia digifoto pro digifoto starter  Sydney Harbour Bridge,neutral
7,New music in the works for 2021  BigLegion  bestthateverdidit  hiphop  idontknow  2021  newmusic  hookmaster  bumpboxx  IMC  intelligentmindedcreatures  coronacalifornia  Corona California,neutral,sparkles 23 sparkles      right_arrow  SWIPE TO SEE THE LOCKDOWN BIRTHDAY REALNESS  face_with_tears_of_joy   Brighton,positive,27 fresh  COVID19 cases and 26 recoveries reported in  Chandigarh today  Chandigarh India,positive,Your  celebrity  mechanic is saying  staysafe Use your  nosemask or  faceshield I sell at reasonable price and a DM or 2348082135191  Lekki Phase 1,positive,Brisbane 3day lockdown starts now sampling thr  speyriver12yo on a cool slightly rainy Friday evening  covidgoaway  speyside  whisky  singlemalt  Spring Mountain,positive
8,GET MONEY MONDAYZ  fire  CLICK THE LINK IN MY BIO TO CONNECT TO THE STATION 247 FOR SHOUTOUTS REQUEST OR BUSINESS CALL OR TEXT 7862622476 247 fire  fire PLEASE BE SAFE AND WEAR A MASK  face_with_medical_mask   Miami Beach Florida,positive,NEED YOUR SUPPS We are offering a Friday delivery throughout the Birmingham area through Lockdown Small delivery charges apply payment via PayPal ORDER via Instagram  Willpower,negative,In This LockdownQuarantine  I May Lost You But Found Me So I Win party_popper  party_popper   homestay  lockdown  letsfightagainstcoronatogether  enjoyquarintine  carpediem  moments  indiafightagainstcorona  The Rock Garden,neutral,2020 in retrospect we safely restarted  FirstAid in  COVID19  Pandemic in  Lagos  Nigeria  Lagos Nigeria,positive,COVID vaccine going well  minimal side effects  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing   Sydney Australia,positive
9,CVS Health is looking for teammates like you See our latest Pharmacy Technician  Retail Store job openings including Pharmacy Technician  COVID Vaccine Support via the link in our bio,positive,And my beautiful lockdown birthday video from Beverley Knight  musical_notes  two_hearts   beverleyknight  musicislife  lockdownbirthday  The 11 Diet by Cambridge Weight Plan  Tina Brown,positive,INGMT  Days after participating in COVAXIN vaccine trial man dies in Bhopal We monitored his health for 7 to 8 days he claimed  The Unsolved Case of an Indian Woman a psychological thriller is a journey of a protagonist  View article,positive,Mid week mood smiling_face_with_sunglasses   stayhome  quanrantine  health Follow  backhand_index_pointing_right_medium-dark_skin_tone  officialflyzee feli ciabest  Nigeria,positive,When your morning walk culminated in a delicious fosterandblack coffee  coffee  needs  doppio  lockdown  wearamask  packersfacecover  thenewnorm  itiswhatitis  Foster amp Black Garden City,positive
