,United States_tweets,United States_sentiment,United Kingdom_tweets,United Kingdom_sentiment,India_tweets,India_sentiment,Nigeria_tweets,Nigeria_sentiment,Australia_tweets,Australia_sentiment
0,tats and  braids  music and  POME covid got you down Imma pick you up  Chicago Illinois,negative,Getting our daily exercise over the past few days dan95hicks  hiking_boot                                                 exercise  corona  covid  england  spring  highwycombe  lgbt  instagay  picoftheday  instapic,negative,There is more life is on Terrace and Balcony than road  LifeOnTerrace  Covid19  CoronaVirus  Lockdown  Lockdown2020  QuarantineLife  Nikonphotography  nikond3200  ConquerCorona heenashah932  Parishkkar,positive,Just in Donald called Buhari on phone promised to help Nigeria fight covid19  Imo state,neutral,While we are all fighting for COVID19 Mother Earth is healing Maybe thats the plan after all  globe_showing_Europe-Africa   FightCovid19  MotherNature  MotherEarth  Lockdown  Quarantine  QuarantineStories  InstaPhoto  TravelGram  Travel,neutral
1,police_car_light IF YOU KNOW ANYONE WHOSE JOB IS AFFECTED WITH THE CORONA VIRUS QUARANTINE police_car_light  I have 3 immediate work from homezoom app income opportunities available  star  1 A silent,positive,floppy_disk  ⓈⓀⓎ ⓉⒺⒸⒽ Elon Musk attacks lockdown measures imprisoning people at home,neutral,One of the best negative role playerPRAN  pran  mimicry  besafe  coronavid19  covid  infosys  infosysmysore  gujju  stayhome  stayhealthy  staysafe  Infosys Mysore Campus,positive,Hello there If Growth and Development are of natural essence then the lessons that life thought us are as good as the air we breathe in Join us as we explore the various lessons from these COVID19 and Lockdown,positive,This is what stupid looks like Countries like New Zealand and Australia have shown that lockdowns and restrictions can and do work to slow the spread of COVID19 But the USA has a,positive
2,Join us for prayer tonight at 7 PM Call 6053134820 for encouragement and virtual fellowship  Prayer  BMBC  physicaldistancing  socialdistancing  covid  corona  Brown Memorial Baptist Church,neutral,Roses are red oceans are blue this is me in isolation how about you  upside-down_face    isolation  corona  stayathome  savelives  instagood  fyp  Manchester United Kingdom,negative,Fight against corona by learning a new skill from home Thanks to lets upgrade for giving free class on python Hope to see your next such campaign soon  BharatPadheOnline  IndiaFightsCorona  IndiaFightsCoronavirus  LUFCS  Letsupgrade HRDMinistry DrRPNishank LetsUpgrade in,positive,SAME AS OLD WINES TASTES BETTER WITH TIME SO ALSO YOUR SMART INVESTMENTS ADDS VALUE amp YIELDS MORE RETURNS WITH TIME  ESPECIALLY DURING THIS COVID 19 LOCKDOWN PERIOD LETS HELP YOU GET STARTED TODAY amp INVEST,positive,Remember those days when you could sit and enjoy nature without exercising or being told to move on    isolatation  nature  peace  reminiscing  memories  covid19  freshair  peaceful ariataus  Sunshine Coast,positive
3,When the kitchen sink backs up at noon and your husband is trying to bake your birthday cake and dinner during a pandemic  covid19  backyard  dishwasher  Clear Lake City Texas,neutral,We have a selection of hand made reusable face masks available    coronavirus  facemask  reusablemask  handmade  popinforyours  loveashby  livinginashby  virus  safetyfirst  protection  protectyourself  The,positive,A Damsel destressed  Corona  shotononeplus  oneplus india  oneplus3 OnePlus IN jeanphil18  amravati  lockdown  Amravati,neutral,ADDRESS BY HE MUHAMMADU BUHARI PRESIDENT OF THE FEDERAL REPUBLIC OF NIGERIA ON THE CUMULATIVE LOCKDOWN ORDER OF LAGOS AND OGUN STATES AS WELL AS THE FEDERAL CAPITAL TERRITORY ON COVID19 PANDEMIC AT THE STATE,positive,COVID CARDZ Meet your psychiatrist on Zoom  Geelong Victoria,neutral
4,Im up late to register for covid unemployment benefits It opened at 2am and didnt crash at night So I did some midnight practicing  juggling  circus  quarantineandchill  aarp  nerd  espn DM for zoom shows,negative,CoronaVirus  Covid19 Home  house_with_garden  Schooling amp Pneumatic drilling outside mi yard  woman_getting_massage_medium_skin_tone  water_pistol  got me like Lord mi cant tek no more Papa San 1992  Jamaica  woman_dancing_medium_skin_tone  winking_face_with_tongue  squinting_face_with_tongue  grinning_face_with_sweat  face_with_tears_of_joy  rolling_on_the_floor_laughing  face_with_tears_of_joy   Reggae  stayathome  ragga  music  lockdown  London United,positive,February 2020 a series of portraits of the security guards in precoronavirus Sanjay Gandhi National Park passing their time tasked with making sure there are no couples engaging in public indecency passing,positive,The Fear of Corona Is the Beginning of Wisdom rolling_on_the_floor_laughing  face_with_tears_of_joy  rolling_on_the_floor_laughing  face_with_tears_of_joy   Suru Lere Lagos Nigeria,neutral,Stigmabase  Community Covid19 testing starts at Southern maraes It is focusing on health care and other workers Māori and Pacific people and those with a history of international travel such as those staying in  View article,neutral
5,Dont get the blues Sing along and well get through this  covıd19  corona  churchstreeteast  downtownmobile  mobilealabama  downtownmobileal  ukulele  ukulelecover  ukulelecovers  banjolele  banjolelecover,neutral,speaking_head  Massive shout out to Level 2 Coaching Student lukeay11 who has been working as a Porter at St Peters Hospital in Chertsy carrying covid positive patients around the Hospital We are all so proud of Luke and,positive,Corona virus update FIGHT WITH CORONA VIRUS STAY HOME STAY SAFE  coronavirus  coronavirusrd  coronaviruspandemic  coronavirusoutbreak  coronavirusitaly  coronaviruslockdown  coronavirus2020,neutral,What is d cost of your life What does ur life worth to you How much are you willing to give for your life to become better How much can you pay for something that will save you Do you know the size of Corona,positive,China  COVID19  hushed_face   Sydney Australia,neutral
6,Chronic Disease Coalition ChronicRights How to clean reuse or hack a  coronavirus mask  Hammond Indiana,neutral,Going for the Johnny bravo look  face_with_tears_of_joy  face_with_tears_of_joy  jo barbers open and its getting out of control Wonder how long it will be at the end of this corona bollix Have a head razor but dont wanna go down that route     sunday,negative,Greetings For the Day I hope you are taking precautions as advised by authorities from time to time And at the same time keeping sound health by defeating effects of Corona As you are aware due to CORONA,positive,The Nigeria  Governors Forum NGF has agreed to implement a  lockdown between states in order to  limit the spread of the  Coronavirus  disease in Nigeria   This agreement to implement the two weeks lockdown,neutral,FULL EPISODE OUT SOON Taken From ep200 of AskUngoogleable with UFC star anthony rumble    A message of empathy and wisdom from Professional athlete and entrepreneur Anthony Johnson regarding the COVID19,neutral
7,Sun rays and dark days  sun  seattle  corona  seagull  spring  Seattle Washington,negative,call_me_hand Walking is good man_walking  sun_behind_rain_cloud  black_heart  seedling  sunrise_over_mountains   active  april  exercise  keepfit  fitness2me  nature  brent  2miles  gap  fun  walk  thursdaythoughts  covid19  goodevening  spring  inthistogether  bekind  training  walking  staypositive,positive,Do Follow Viswanath Sarey As a lot of us continue to stay indoors Facebook has become a goto platform for many people to check in with their friends family and neighbors during the current coronavirus pandemic,positive,are you Staying at Home Julius Berger Auditorium 2019  everydaybuildings  architecturalphotography  everydayafrica  architecture  yení  stayhome  staysafe  COVID19  Lagos Nigeria,neutral,Dinner time Corona style even if its take away Still the best Vietnamese in the universe  pho236andco  newtown  Pho 236,positive
8,Thanks to everyone who is helping support furloughed Bar amp restaurant employees who are still trying to make ends meet during this  COVID19  quarantine We are shipping shirts AND stickers now nationwide to the,neutral,Tuesday nights exercise Lots of people had the same idea  corona  excercise  hammersmithbridge  Fulham Reach London,negative,Corona stop Corona face_with_medical_mask  Follow on PrinceRomeoAj  princeromeoaj  Stop people amp stop corona,neutral,All social media was full of Abba kyari is dead of Covid19 that mean the rest dead people are fake news be DATor the re not from Nigeriawat a Nation  Kaduna,negative,Freelance  WPSyd  WordPressSydney  WordPress  Meetup  COVID19  Marketing  Sydney Australia,neutral
9,We end our  vacation program with  Mindfulness Ms Zayda Vallejo We learned about  trust  generosity and  kindness We feel so  peaceful  Montessori  elementary  MiddleSchool  Worcester  practice  TogetherInThis  COVID19  SchoolClosure,positive,ARTIST SUPPORT PLEDGE TITLE Celtic Coast VARIABLE EDITION 120 MEDIUM Collagraph print IMAGE SIZE 20 x 20cm MOUNT SIZE 36 x36cm UNFRAMED PRICE 185 Due to the COVID19 pandemic many artists have found,positive,HelloSuratCity 22 more positive case have been found today Head Constable of Limbayat Police station Infected with Corona  surati  corona  update  covid19  surat  Surat Gujarat,positive,COVID19 FOOD RELIEF Hon Eric Uwakwe has kicked off with the First Phase of distribution of Bags of Rice to IMSU Students Today the Grand Commander of Imo Youths and the Senior Special Assistant to the Governor,positive,queenvictoriamarket feels kind of empty right now  covid 19  coronavirus  lockdown  socialdistancing  Melbourne  Australia  Queen Victoria Market,positive
