,United States_tweets,United States_sentiment,United Kingdom_tweets,United Kingdom_sentiment,India_tweets,India_sentiment,Nigeria_tweets,Nigeria_sentiment,Australia_tweets,Australia_sentiment
0,Dear germs we say not today This just in from our way cool friends lazarusnaturalscbd  lemon  lemon  scented  lemon  80 proof  sweat_droplets  hand sanitizer lazarusnaturalscbd is using their expertise and equipment to create hand,positive,When you arrive home from work and your Friday farm next door delivery  delivery_truck  is on the doorstep plastic free polish bread cherry scones cherries  cherries fresh turmericgooseberriesbaby speciality  tomato  tomatoes field  cucumber,positive,Who are missing this in the Lockdown         camera_with_flash  Original content  byanjushka Feature from  siligurisutra  right_arrow  right_arrow  right_arrow  right_arrow  right_arrow  right_arrow  right_arrow  right_arrow  right_arrow  right_arrow  right_arrow  right_arrow  right_arrow  right_arrow  right_arrow  right_arrow  right_arrow  Trying to Provide a platform to young and enthusiastic,positive,In this global Coronavirus pandemic the CONNECTED ECONOMY pays out an average of N81770 221 daily in Commissions Simply because most economic transactions and operations are done online  Jos Nigeria,positive,around sunset in the city as the ghantaghar watches on and post lockdown construction picks up  sunset  ghantaghar  clocktower  construction  postlockdown  kathmanduvalley  nepal  Baghbazar Kathmandu,neutral
1,the beginning of lockdown brought some fear and uncertainty in real estate however people still needed a place to live as time went on some people realized they wanted a better home to shelter in place so ive,positive,A very rare thing A shoot I did during lockdown And what a nice job it was photographing Nish Kumar for new Quibi comedy Hello America  nishkumar  quibi  specials  portrait  sonya7riv  Riverside Studios,positive,And its a lockdown again  nautankiqueen  nautankisaala  nautankiathome  nautankipose  nautankibaaz  instapost  intapic  instagramer  intapic  instagram  instapose  insta  instagood  instamood,neutral,This is what the sun can give you This is not phcngenerator Its lights from the sun Wont you rather go solar today Call 2348068126479 WhatsApp 2348102961708  BBNaijia  laimohammed  COVID19,neutral,lockdown begins again with these two smurfs  Melbourne Victoria Australia,neutral
2,I miss those precorona days Will it ever be like it was before I doubt it I dont think going out and mingling will ever be the same  precovid19  nomasks  nosocialdistancing  fun  bars  hangouts  meetup,positive,The ZTDA Lockdown Awards wall is growing well full actually Proud of you all for making the most of your time in lockdown and making this a time to remember for the right reasons  never stop believing and never,positive,Reposted from MemesVocabulary  covid19  vocabulary  stayhome  staysafe  learnthroughmemes  learn  english  chennai  tamilnadu  tamilcinema  cinematography  cinema  tamilmemes,neutral,On my way to Harare Zimbabwe where I will be speaking on BUILDING FOR THE FUTURE Reposted from jcizimbabwe Join us this coming Saturday Free eventLets explore everyone is welcome  ConnectTheDots  covid 19,positive,So Ive been a bit uninspired lately pretty sure its the whole Covid thing getting me down I really feel for people in Victoria but truth be told I have a sinking feeling NSW is heading in the same direction So,positive
3,essentialdatenight  wearyourmask face_with_medical_mask   socialdistancing  Transit DriveIn,neutral,Well we may have Covid19 but today I have trained had 2 PT clients Coached these 2 boxers from ringsboxingclub and trained myself one more time with a zoom class i host on a Wednesday evening  Never excuses,positive,In Covid19  besafe  stayhome bring your  business  online create  onlinestores and  workfromhome  Surat Gujarat,neutral,beaming_face_with_smiling_eyes  Lets make it happen Join us live Reposted from classicfm943 This Saturday on  JazzYouUp etekswisdom and mikewonder will discuss  Covid19 effects on performing musicians  TuneIn   regrann  Abuja Nigeria,positive,Good morning all have a great day and stay COVID safe  ThisIsNewcastle  GottaLuvNewcastle  MerewetherBeach  NSW  Newie  Newy  GoodMorning  Blue Door Kiosk Merewether,positive
4,UPDATED JULY CALENDAR Due to the new Covid19 restrictions SNPLA is relocating all mobile vaccine clinics at the LA city shelters to our own SNPLA clinics for extended evening hours Please see our updated July,positive,Snake and dagger done today for kylesmithhh  This was one of the paintings from lockdown I still have loads of designs waiting to be done  pins and needlestattoo  tattoos  traditionaltattoo  neotraditionaltattoo,positive,workfromhome  Opportunities How to select right company Contact 9003087198  8610257395  திருவொற்றியூர்,positive,Im happy couples are already getting married and new homes are being established despite the restrictions posed by the pandemic Slowly but surely we are getting our lifes back and our clients and prospective,positive,Study in orange Surrounded by gentle doggy snores tonight  itsadogslife  lockdown  Brunswick Victoria,positive
5,mobile_phone_with_arrow  house_with_garden  money_bag Work from the comfort of your own home   collision Up to 100k Life  collision Paid Direct Deposit every Thursday  collision Residual Income  collision Your Own Website  collision Mentoring  Looking to start your business,positive,Cant even do Zumba without my shadow  face_with_rolling_eyes   zumbadog  charitydog  lockdownlife  workfromhome  Warrington England,neutral,Am Back after  corona  Thoraipakkam India,neutral,DRUG ABUSE IS MORE DEADLY THAN COVID19 YES OR NO  DASTU foundation,negative,tuppaware cough cough Sorry bosscant come to work today Even though youre working from home yes,negative
6,HOME BUYER PROCESS STEP 6 CLOSING DAY  The day you have been working towards is finally here Closings usually take place at a title company or attorneys office amp last anywhere from 30 mins to an hour The,neutral,291219 Stunning Tyneside sunset from our Seawinnings self catering holiday home The last time we were in South Shields I hope that the post lockdown views are still as good as these This place was home before I,positive,Here are my beauties Yes I am becoming plant obsessed  Btw before this lockdown I didnt even know I can be creative  My favourite amongst these is the tin cheese can  In a few weeks I will have more,positive,Eid Mubarak to all our Muslim faithfuls May the Almighty accept our sacrifice prayers amp rain down on us HIS blessings and mercies May HE rid us off the pandemic Eid Mubarak to you and your,positive,Happy Birthday to this young bloke  37 years old 13 years as friends and almost six of them working together Enjoy Victorias last day of freedom before we go back down into lockdown again and looking forward to,positive
7,I also wear it for my niece who has Cystic Fibrosis Please wear a mask  WearAMask  Covid19  SocialDistancing  BeKind  ThinkAboutOtherPeople  StopBeingSelfish  WEARADAMNMASK  Chicago Illinois,positive,Sam and I both agree this little babe is part of the ugly bun club but oh its tasty This weeks doughnut burnt apple and hay custard  smiling_face_with_hearts   uglybunclub  tastybuns  fridaytreats  officetreats  workingfromhome,positive,LADAKH  globe_showing_Americas  TIMES Students patients and residents of Kargil to get refund who were evacuated from different parts of the country during the COVID19 CEC convenes meeting of officers to discuss payment,neutral,WHY YOU NEED TO SHARPEN YOUR SKILLS The panic around the novel coronavirus COVID19 continues to result in disruptions rarely seen before in human history The forefront challenges caused by the virus are,negative,Information regarding yesterdays covid restrictions announcement and golf bookings can now be found on the members portal  Green Acres Golf Club,neutral
8,hotsummerday  romantic  sancerre  rose  UES  folded_hands_light_skin_tone   NYC  pandemic  Upper East Side,neutral,I just uploaded my first ever summer AfroBeats mix for this Covid year please find the link below Share Stream and enjoy,positive,UTC 7  IN  After six months pandemic not even close to being over WHO Army of women health workers on Indias virus front line Unprotected and poorly paid an allwomen army of health workers confront suspicion anger  View article,negative,Due to the operational impact of the coronavirus COVID19 the priority and super priority services are suspended for applications made outside of the UK For the standard service you should get a decision on,positive,Even the bins are into social distancing  Hahndorf South Australia,negative
9,Someones fulfilling lockdown project in my neighbourhood was turning this rock into a block of cheese  for the starving NYC subway rats obviously because no scraps on subway tracks  and Im all over it,negative,Awaiting our non contact  thermometer  thermometer to complete our  covidstation   covid19 to complete our COVID safe  filmset  covidisexpensive  but  healthandsafety comes first barkerjanuaryP1  barkerjanuaryproductions,positive,Because its a Friday and am in love with nature  iphotography  shobology  onlyinindia  flowers  kerala  godsowncountry  farmhouse  quarantinelife  staysafestayhome  covid19  outdoors  nature  environment,positive,As the Central Bank of Nigeria extends the recapitalization deadlines for Microfinance Banks in the country many MfBs are still grappling with how to scale this hurdle Will investor fund institution in PostCOVID,positive,A second wave Who would have thought that possible weeks ago but with 277 new cases today we know its true This cluster of people are all social distancing at Caulfield Park While some are doing the right thing,positive
